FIPStxt,State,Area_Name,Attribute,Value
1013,AL,Butler County,NET_MIG_2021,-70.0
1013,AL,Butler County,NET_MIG_2022,-111.0
1013,AL,Butler County,NET_MIG_2023,-199.0
1013,AL,Butler County,RESIDUAL_2020,5.0
1013,AL,Butler County,RESIDUAL_2021,5.0
1013,AL,Butler County,RESIDUAL_2022,-6.0
1013,AL,Butler County,RESIDUAL_2023,0.0
1013,AL,Butler County,GQ_ESTIMATES_BASE_2020,285.0
1013,AL,Butler County,GQ_ESTIMATES_2020,285.0
1013,AL,Butler County,GQ_ESTIMATES_2021,285.0
1013,AL,Butler County,GQ_ESTIMATES_2022,285.0
1013,AL,Butler County,GQ_ESTIMATES_2023,285.0
1013,AL,Butler County,R_BIRTH_2021,12.0
1013,AL,Butler County,R_BIRTH_2022,11.0
1013,AL,Butler County,R_BIRTH_2023,11.4
1013,AL,Butler County,R_DEATH_2021,15.7
1013,AL,Butler County,R_DEATH_2022,16.6
1013,AL,Butler County,R_DEATH_2023,16.1
1013,AL,Butler County,R_NATURAL_CHG_2021,-3.7
1013,AL,Butler County,R_NATURAL_CHG_2022,-5.6
1013,AL,Butler County,R_NATURAL_CHG_2023,-4.7
1013,AL,Butler County,R_INTERNATIONAL_MIG_2021,0.3
1013,AL,Butler County,R_INTERNATIONAL_MIG_2022,0.3
1013,AL,Butler County,R_INTERNATIONAL_MIG_2023,0.4
1013,AL,Butler County,R_DOMESTIC_MIG_2021,-4.0
1013,AL,Butler County,R_DOMESTIC_MIG_2022,-6.2
1013,AL,Butler County,R_DOMESTIC_MIG_2023,-11.2
1013,AL,Butler County,R_NET_MIG_2021,-3.7
1013,AL,Butler County,R_NET_MIG_2022,-5.9
1013,AL,Butler County,R_NET_MIG_2023,-10.7
1015,AL,Calhoun County,Rural_Urban_Continuum_Code_2013,3.0
1015,AL,Calhoun County,Rural_Urban_Continuum_Code_2023,3.0
1015,AL,Calhoun County,Urban_Influence_2013,2.0
1015,AL,Calhoun County,Economic_typology_2015,4.0
1015,AL,Calhoun County,CENSUS_2020_POP,116441.0
1015,AL,Calhoun County,ESTIMATES_BASE_2020,116441.0
1015,AL,Calhoun County,POP_ESTIMATE_2020,116243.0
1015,AL,Calhoun County,POP_ESTIMATE_2021,115678.0
1015,AL,Calhoun County,POP_ESTIMATE_2022,115780.0
1015,AL,Calhoun County,POP_ESTIMATE_2023,116429.0
1015,AL,Calhoun County,N_POP_CHG_2020,-198.0
1015,AL,Calhoun County,N_POP_CHG_2021,-565.0
1015,AL,Calhoun County,N_POP_CHG_2022,102.0
1015,AL,Calhoun County,N_POP_CHG_2023,649.0
1015,AL,Calhoun County,BIRTHS_2020,305.0
